State,Abbreviation,Review Date,App Planned,App Released As Of Review Date,"If No, Last Date Mentioned",App Name,Technology Used,App Developers,Notes,URL Reference
Alabama,AL,2020-09-04,Yes,Yes,,GuideSafe,Bluetooth,"Alabama Department of Public Health, University of Alabama Birmingham, MotionMobs",,
Alaska,AK,2020-09-04,No,,,,,,,
Arizona,AZ,2020-09-04,Yes,Yes,,Covid Watch Arizona,Bluetooth,"Arizona Department of Health Services, Covid Watch, University of Arizona, Apple/Google",https://9to5mac.com/2020/08/24/covid-19-exposure-notification-api-states/,"https://www.forbes.com/sites/zakdoffman/2020/08/22/apple-iphone-google-android-coronavirus-smartphone-tracking-apps-update-release/#1eedd5e01739, https://www.komando.com/coronavirus/covid-19-tracking-apps/751623/"
Arkansas,AR,2020-09-04,No,,,,,,,
California,CA,2020-09-04,No,,,,,,,
Colorado,CO,2020-09-04,No,,,,,,,https://www.idropnews.com/news/there-are-now-20-us-states-exploring-apple-google-exposure-notification-apps-as-google-announces-improvements-to-the-api/140471/
Connecticut,CT,2020-09-04,No,,,,,,,https://www.idropnews.com/news/there-are-now-20-us-states-exploring-apple-google-exposure-notification-apps-as-google-announces-improvements-to-the-api/140471/
Delaware,DE,2020-09-04,No,,,,,,,https://www.idropnews.com/news/there-are-now-20-us-states-exploring-apple-google-exposure-notification-apps-as-google-announces-improvements-to-the-api/140471/
Florida,FL,2020-09-04,No,,,,,,,
Florida (Broward),FL-B,2020-09-04,Rumored,Yes,,CombatCOVID PBC,Bluetooth,Shield Group Technologies,County Wide App (Negotiations),https://www.youtube.com/watch?v=UAH6PML7MJg
Florida (Miami-Dade),FL-M,2020-09-04,Yes,Yes,,CombatCOVID PBC,Bluetooth,Shield Group Technologies,County Wide App,https://www.youtube.com/watch?v=UAH6PML7MJg
Florida (Palm Beach),FL-PB,2020-09-04,Yes,Yes,,CombatCOVID PBC,Bluetooth,Shield Group Technologies,County Wide App,https://bocanewsnow.com/2020/08/03/palm-beach-county-covid-tracking-app-is-flawed-potentially-useless/
Georgia,GA,2020-09-04,No,,,,,,,https://www.idropnews.com/news/there-are-now-20-us-states-exploring-apple-google-exposure-notification-apps-as-google-announces-improvements-to-the-api/140471/
Hawaii,HI,2020-09-04,Yes,No,2020-09-01,"AlohaSafe Story, AlohaSafe Alert","GPS, Bluetooth","AlohaTrace, Hawaii Department of Health",Two Apps Being Developed,"https://www.hawaiibusiness.com/new-contract-tracing-apps/, https://www.asiaone.com/digital/google-and-apple-roll-out-built-covid-19-exposure-notifications-phones , "
Idaho,ID,2020-09-04,No,,,,,,,https://www.idropnews.com/news/there-are-now-20-us-states-exploring-apple-google-exposure-notification-apps-as-google-announces-improvements-to-the-api/140471/
Illinois,IL,2020-09-04,No,,,,,,Safer Illinois app being used at Urbana-Champaign,https://newschannel20.com/news/local/new-covid-19-software-loaded-onto-your-smartphone
Indiana,IN,2020-09-04,No,,,,,,,https://www.idropnews.com/news/there-are-now-20-us-states-exploring-apple-google-exposure-notification-apps-as-google-announces-improvements-to-the-api/140471/
Iowa,IA,2020-09-04,No,,,,,,,https://www.idropnews.com/news/there-are-now-20-us-states-exploring-apple-google-exposure-notification-apps-as-google-announces-improvements-to-the-api/140471/
Kansas,KS,2020-09-04,No,,,,,,,
Kentucky,KY,2020-09-04,No,,,,,,,
Louisiana,LA,2020-09-04,No,,,,,,,
Maine,ME,2020-09-04,No,,,,,,,
Maryland,MD,2020-09-04,Yes,No,2020-09-02,N/A,Bluetooth,Apple/Google,,"https://www.baltimoresun.com/coronavirus/bs-md-maryland-coronavirus-contact-tracing-faq-20200902-wvrwn5sv4jfkjmhki7spzy4x7e-story.html,https://www.theverge.com/2020/9/1/21410281/apple-google-coronavirus-exposure-notification-contact-tracing-app-system"
Massachusetts,MA,2020-09-04,No,,,,,,,
Michigan,MI,2020-09-04,No,,,,,,,
Minnesota,MN,2020-09-04,No,,,,,,,
Mississippi,MS,2020-09-04,No,,,,,,,
Missouri,MO,2020-09-04,No,,,,,,,
Montana,MT,2020-09-04,No,,,,,,,https://montanafreepress.org/2020/08/18/tracking-and-trust/
Nebraska,NE,2020-09-04,No,,,,,,,
Nevada,NV,2020-09-04,Yes,Yes,,Covid Trace Nevada,Bluetooth,"Nevada's Department of Health and Human Services, PlayStudios, Apple/Google",,https://www.reviewjournal.com/news/science-and-technology/meet-the-man-whose-crazy-idea-jump-started-nevadas-covid-trace-app-2107384/
New Hampshire,NH,2020-09-04,Yes,Yes,,Wellbility,Bluetooth,"On-site Medical Services LLC., ",,"https://www.wellbility.com/, https://www.mynbc5.com/article/new-hampshire-company-launching-covid-19-contact-tracing-app/33548747#"
New Jersey,NJ,2020-09-04,No,,,,,,,
New Mexico,NM,2020-09-04,No,,,,,,,
New York,NY,2020-09-04,No,,,,,,,
North Carolina,NC,2020-09-04,No,,,,,,,
North Dakota,ND,2020-09-04,Yes,Yes,,Care 19 Alert,Bluetooth,Proud Crowd,Switched from Care 19 Diaries,https://www.health.nd.gov/news/north-dakota-announces-launch-care19-alert-app-help-reduce-spread-covid-19-students-return
Ohio,OH,2020-09-04,No,,,,,,,
Oklahoma,OK,2020-09-04,Yes,No,2020-07-21,N/A,Bluetooth,Apple/Google,,https://www.lawfareblog.com/what-ever-happened-digital-contact-tracing
Oregon,OR,2020-09-04,No,,,,,,,
Pennsylvania,PA,2020-09-04,Yes,No,2020-08-18,COVID Alert PA,Bluetooth,"MIT, University of Pennsylvania",,https://pittsburgh.cbslocal.com/2020/08/18/pennsylvania-coronavirus-tracing-app/
Rhode Island,RI,2020-09-04,Yes,Yes,,CRUSH COVID RI,GPS,"Rhode Island Department of Health, InfoSys",,
South Carolina,SC,2020-09-04,Yes,No,2020-08-25,N/A,Bluetooth,"Apple/Google, Medical University of South Carolina",,"https://www.postandcourier.com/health/covid19/google-apple-and-musc-team-up-on-a-contact-tracing-app-for-sc/article_6553153c-9b69-11ea-9ca7-bb928727bd6b.html,  https://www.idropnews.com/news/there-are-now-20-us-states-exploring-apple-google-exposure-notification-apps-as-google-announces-improvements-to-the-api/140471/,https://www.healthcaredive.com/news/virginia-first-state-to-fully-deploy-covid-19-exposure-notification-app-bas/583034/ "
South Dakota,SD,2020-09-04,Yes,Yes,,Care 19 Diaries,GPS,Proud Crowd,May move to Apple/Google,"https://covid.sd.gov/care19app.aspx, https://9to5mac.com/2020/08/24/covid-19-exposure-notification-api-states/"
Tennessee,TN,2020-09-04,No,,,,,,,
Texas,TX,2020-09-04,No,,,,,,,
Utah,UT,2020-09-04,Yes,No,2020-09-02,N/A,Bluetooth,"Apple/Google, Twenty",Moved on from Healthy Together,"https://www.healthytogether.io/legal/privacy, https://www.fox13now.com/news/local-news/utah-app-for-contact-tracing-hopes-to-implement-bluetooth-tracing-announced-by-google-and-apple"
Vermont,VT,2020-09-04,No,,,,,,,
Virginia,VA,2020-09-04,Yes,Yes,,COVIDWISE,Bluetooth,"Virginia Department of Health, Apple/Google",Fact sheet is available,"https://www.vdh.virginia.gov/content/uploads/sites/188/2020/08/COVIDWISE_DoubleSided.pdf, https://www.vdh.virginia.gov/covidwise/"
Washington,WA,2020-09-04,Yes,No,2020-07-09,Common Circle,Bluetooth,"Univeristy of Washington, Brotman Baty Institute, Microsoft",App formerly called CovidSafe,"https://commoncircle.us/index.html, https://www.washington.edu/news/2020/04/22/a-contact-tracing-app-that-helps-public-health-agencies-and-doesnt-compromise-your-privacy/, "
Washington DC,DC,2020-09-04,Yes,No,2020-09-01,N/A,Bluetooth,Apple/Google,,https://www.nbc12.com/2020/09/01/apple-google-build-virus-tracing-tech-directly-into-phones/
West Virginia,WV,2020-09-04,No,,,,,,,
